,Unnamed: 0,CEO,Ticker,Sector,Quarter,Year,Date,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile,Next_Date,Time_Delta,twenty_ret,twentyfive_ret,thirty_ret,thirtyfive_ret,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,adjweightedavebasicsharesos,adjbasiceps,adjweightedavedilutedsharesos,adjdilutedeps,adjweightedavebasicdilutedsharesos,adjbasicdilutedeps,FFR_0,FFR_60,FFR_90,FFR_120,FFR_30,T10_0,T10_60,T10_90,T10_120,T10_30,Tax_Law,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
499,561,Miles White,ABT,Health Care,Q4,2015,1/28/2016 16:20,1.164,1214,78,6,0.4,1.571428571,1.829317671,1.632812364,1.546394101,1.700752442,1.477848162,0.99424119,0.540655632,0.458840844,0.148579105,0.573758328,4/20/2016 13:27,82,0.031616244,0.035977105,0.100299809,0.153447806,0.007804,2347283066,0.115035,20810000000,0.9293,-2294000000,4641283066,-2075716934,-516000000,3241000000,1472000000,4713000000,1110000000,1974000000,8099000000,4969000000,9001000000,5871000000,-1165000000,30327000000,14.0843,3.9914,63040385230,61990385230,2.9721,10.4875,3.0895,14.2529,0.022934,0.070161,2.9789,3.038,13.1531,19.1269,26.4094,20.9003,13.3563,0.13375,0.242238,0.321399,0.936515,0.959732,-0.192925,0.846643,-0.09929,-0.008166,-0.006535,-0.000617,0.010669,-0.030257,-0.026667,-0.121445,-0.166811,-0.006872,0.571331,0.230973,0.140505,0.158834,0.216761,0.428669,0.332517,0.068856,0.430826,1.38957,0.982104,0.181276,0.4949,5.8267,3.3373,3.4985,8.1557,62.643,109.3706,44.7539,127.2597,0.0221,1.9191,1.8848,0.2753,0.4221,0.106904,-4.374535,4.481439,0.098985,0.205889,0.211381,0.078614,0.107284,0.005307,0.204796,0.326249,0.832014,2.672072,0.103208,0.19359,0.296798,0,0.003792,0.69941,1.9098,-0.2472,1.2457,3.8346,-0.4963,2.5012,3.6715,19.8834,14.4005,13.0736,7.5907,18.1963,11.3865,28.4741,1.5409,1.0389,0.096741,0.396913,0.243519,2347283066,0.115035,0.155991,1496000000,2.94,1506000000,2.92,1504400000,2.94,0.26,,0.31,0.31,0.02,-0.22,,-0.16,-0.06,-0.32,0,0.3591657,75.98026059,15.8113883,9.246211251,2.414213562,1.032815434,72.61436981
500,562,Miles D. White,ABT,Health Care,Q1,2016,4/20/2016 13:27,1.102,1768,114,6,2.4,2.411764706,1.820716906,1.63934927,1.578584829,1.701262392,1.498216493,0.988002174,0.595702782,0.731722044,0.151570867,0.707904211,7/20/2016 14:53,91,0.002284148,0.001142074,-0.097076291,-0.094792143,0.000196,2342761848,0.114881,22587000000,0.9297,1306000000,1036761848,-104238151.7,1745000000,2599000000,1448000000,4047000000,1118000000,2669000000,6626000000,4013000000,8590000000,5977000000,1081000000,29432000000,13.9667,3.6996,58219862036,59420862036,2.8096,10.6066,2.8549,23.7923,0.024974,0.04203,2.6308,2.9138,14.6827,22.863,25.3636,20.6969,57.3139,-0.088103,-0.109016,0.150656,-0.41752,-0.413043,-0.140676,-0.794253,0.061369,-0.000588,-0.141311,-0.198087,-0.001926,-0.446756,-0.445205,-0.03203,-0.776622,0.085392,0.568185,0.19845,0.13637,0.127446,0.119992,0.431815,0.3308,0.072133,0.431815,0.96643,0.974221,0.157583,0.493,5.9016,3.2561,3.5358,8.5288,61.8476,112.0989,42.7961,131.1503,0.0242,1.9316,1.8818,0.2868,0.4121,0.10681,-0.200844,0.307654,0.007456,0.114266,0.047267,0.062829,0.059155,0.005463,0.113641,0.598284,1.174499,2.567979,0.088781,0.203078,0.291859,0,0.004077,0.704064,2.1226,0.2671,1.4769,3.6666,0.4614,2.5513,3.6171,14.125,12.7324,8.0489,6.6563,15.6033,9.5272,5.6346,1.4781,0.8801,0.130878,0.324915,0.196783,2342761848,0.114881,0.12416,1477332000,1.63,1483673000,1.62,1504800000,1.63,-0.01,,0,0.01,0,0.09,,-0.17,-0.39,-0.07,0,0.46151923,61.24540799,12.84523258,8.745966692,4.464101615,1.046743659,68.49911084
501,563,Miles D. White,ABT,Health Care,Q2,2016,7/20/2016 14:53,1.128,1477,98,7,1.166666667,2.076923077,1.822916006,1.649993004,1.543121088,1.692084588,1.49336712,0.989992813,0.680981773,0.429871405,0.103729907,0.677689495,1/25/2017 12:43,188,0.003731343,0.018423507,-0.02005597,-0.015391791,0.002634,2468433437,0.120083,22606000000,0.9423,1584000000,884433436.5,190433436.5,1811000000,2394000000,1443000000,3837000000,1149000000,2773000000,7211000000,4315000000,8912000000,6016000000,1135000000,29707000000,13.965,3.7906,54922615091,56177615091,2.6565,9.7866,2.6719,24.11,0.026956,0.041477,2.4851,2.7329,14.641,23.466,22.7584,19.7878,63.5182,-0.186732,-0.26225,0.127671,-0.495906,-0.493289,-0.160556,-0.833564,0.07535,0.007993,-0.05189,-0.078876,0.053642,-0.069064,-0.067901,-0.011146,-0.146927,0.000841,0.568253,0.186661,0.139521,0.116462,0.110819,0.431747,0.328663,0.071707,0.428731,1.007519,0.944444,0.139319,0.4897,5.7742,3.1994,3.5552,8.2443,63.2127,114.0856,44.273,133.0254,-0.0067,1.9115,1.8053,0.2893,0.4286,0.113158,-1.299887,1.413045,-0.009427,0.103732,0.040544,0.05703,0.054267,0.005419,0.10317,0.653205,1.272169,2.470844,0.097485,0.202511,0.299997,0,0.004039,0.695964,2.3226,0.2958,1.5679,3.6104,0.4598,2.4372,3.4853,9.8519,10.1582,5.1235,5.4298,11.6831,6.9547,3.6396,1.4975,0.923,0.1349,0.350798,0.209914,2468433437,0.120083,0.109992,1474504000,1.52,1480492000,1.51,1500000000,1.52,0.03,,0.03,0.03,0.02,-0.26,,-0.29,-0.35,-0.08,0,0.391152144,78.10889834,16.09347694,8,3.645751311,1.031576297,58.23363841
502,564,Shantanu Narayen,ADBE,Information Technology,Q1,2014,3/18/2014 23:48,1.131,2048,101,4,3,2.5,1.809159522,1.668066885,1.579430551,1.697878495,1.525139275,0.970967215,0.804542103,0.737931659,0.132459684,0.847286794,6/17/2014 23:08,90,-0.019997102,-0.046370091,-0.106071584,-0.094768874,-0.073023,324835685.9,0.080256,4988519000,0.8376,312461000,12374685.9,52921685.9,-1622364000,410085000,322111000,732196000,133301000,-688738000,2443354000,1830044000,1509728000,896418000,-1622364000,8120611000,13.0048,2.4752,34887374200,33265010200,5.2773,27.7266,8.6195,128.303,0,0.007794,6.6683,8.2187,45.4318,81.1174,102.4057,30.7631,2688.1499,-0.435343,-0.585795,-0.570711,-0.618464,-0.633803,-0.282581,-0.984779,0.066821,-0.001912,-0.022293,-0.041105,-0.056256,-0.062317,-0.071429,-0.061091,1.144442,-0.015072,0.857101,0.180901,0.099628,0.101318,0.067181,0.142899,0.13002,0.204205,0.757472,0.805554,0.82312,0.194446,0.3966,8.125,NA,6.0541,8.4292,44.9232,0,43.3019,1.6214,-0.2796,1.5214,1.2523,0.1356,0.2284,0.067222,-0.028213,0.095434,-0.026687,0.040535,0.002561,0.040182,0.026643,0,0.040535,0,4.41316,8.111927,0.075525,0.110388,0.185913,0,0,0.814087,2.0619,-2.2158,1.2243,4.6477,-4.9944,2.7596,7.4203,6.0966,4.8293,4.1149,2.8475,16.0759,14.0941,0.184,1.8664,1.7244,-0.170164,0.603672,0.452143,346712925.7,0.085661,0.083397,496948000,0.54,508340000,0.52,522700000,0.54,0.02,0.01,-0.01,-0.01,,-0.07,-0.16,-0.21,0.01,,0,0.42661458,50.009999,10.04987562,7.480740698,4,1.045308066,62.7612942
504,566,Shantanu Narayen,ADBE,Information Technology,Q3,2014,9/16/2014 20:42,1.142,1,1,1,inf,3,1.812676909,1.654776345,1.62523808,1.704290823,1.533763099,0.977538403,0.716678615,0.951895188,0.170157966,0.880571264,3/17/2015 20:53,182,-0.01073056,-0.003527855,0.004997795,0.041158313,-0.012367,284628252.8,0.069161,4719319000,0.8325,-447761000,732389252.8,39049252.8,-2011941000,398873000,316793000,715666000,122418000,-879551000,2640646000,2034220000,1508256000,901830000,-2011941000,8239516000,13.2554,2.9413,36511610900,34499669900,5.4242,24.4447,8.8719,148.6756,0,0.006726,7.3103,8.383,48.2064,86.4929,121.2096,28.6849,47.1056,-0.246412,-0.368052,-0.433398,-0.450604,-0.465909,-0.082154,18.495903,-0.086656,0.002507,-0.051021,-0.083744,-0.13706,-0.134965,-0.12963,0.046094,8.094659,-0.019458,0.852105,0.173898,0.095012,0.096921,0.059673,0.147895,0.133195,0.203104,0.757093,0.72792,0.845811,0.27208,0.3971,7.8334,NA,5.6937,9.7493,46.5953,0,37.4386,9.1567,-0.2712,1.5279,1.2923,0.134,0.2241,0.05758,-0.021225,0.078804,-0.021375,0.036205,0.148161,0.038487,0.023696,0,0.036205,0,3.563008,9.824625,0.0736,0.109452,0.183052,0,0,0.816948,2.1075,-2.8113,1.2601,5.299,-7.0687,3.1684,7.4868,6.2543,4.4629,4.3348,2.5434,18.8584,16.9389,11.4838,1.906,1.8032,-0.21372,0.641644,0.49429,286660604.6,0.069655,0.081977,498468000,0.5,507811000,0.47,496500000,0.5,0,0,-0.01,0,,0.26,0.1,-0.01,0.06,,0,0.412310563,57.3585216,11.61895004,12.22497216,3.236067977,1,125.6636983
505,567,Shantanu Narayen,ADBE,Information Technology,Q1,2015,3/17/2015 20:53,1.079,2451,162,1,inf,3,1.819535141,1.676117327,1.581792597,1.697132773,1.55370003,0.986796861,0.848627035,0.75487603,0.128481758,0.937179069,6/16/2015 23:49,91,0.018410596,-0.000662252,0.015231788,0.054437086,0.051548,337699212.7,0.079344,5313818000,0.8262,325299000,12400212.7,31462212.7,-1275202000,514424000,315589000,830013000,154485000,-992757000,2184063000,2183999000,1901618000,1901554000,-1275202000,8490638000,12.9826,1.1103,40145306600,38870104600,6.0928,71.2391,9.4324,131.0923,0,0.007628,7.3149,9.1327,46.8307,75.5604,115.1027,31.8915,3134.6321,0.133594,0.254433,0.0396,0.126227,0.173077,0.127155,0.002063,0.06521,0.026298,0.131514,0.224959,0.101783,0.140994,0.150943,-0.053327,-0.984889,0.167685,0.849542,0.195016,0.119114,0.120867,0.071952,0.150458,0.129091,0.199791,0.730428,0.666121,0.893683,0.333879,0.4005,8.1618,NA,5.9302,9.4049,44.7204,0,38.8096,5.9107,-0.2195,1.6102,1.439,0.2886,0.2886,0.065558,-0.021716,0.087274,-0.019158,0.0464,0.002407,0.048407,0.028816,0,0.0464,0,1.959267,7.889594,8.00E-06,0.223959,0.223966,0,0,0.776034,2.2911,-1.5364,2.291,5.6311,-3.7761,5.6309,7.0885,8.9175,5.854,6.2395,3.176,21.1282,18.4502,0.215,2.2214,2.0743,-0.233254,0.513158,0.513142,351671094.3,0.082627,0.108017,498754000,0.62,507526000,0.61,499300000,0.62,0,-0.01,-0.01,0.02,,0.04,0.23,-0.08,-0.28,,0,0.419523539,53.66563146,10.86278049,9.544003745,3.449489743,1.047226281,78.01186915
506,568,Shantanu Narayen,ADBE,Information Technology,Q2,2015,6/16/2015 23:49,1.148,2051,90,1,inf,3,1.828542584,1.652250735,1.602141293,1.66926547,1.549259522,0.993830743,0.698068258,0.87408634,0.03328389,0.926852624,9/18/2015 0:21,93,-0.02,0.050943396,0.009433962,0.075220126,0.059664,397465814.9,0.09137,5101231000,0.8775,288261000,109204814.9,32262814.9,-1508872000,573959000,323865000,897824000,163017000,-1171884000,2241364000,2241364000,1904376000,1904376000,-1508872000,8514479000,13.0742,1.2618,39986480380,38477608380,6.0493,62.6812,9.1921,109.4911,0,0.009133,7.5428,8.8453,42.8565,67.0389,96.8073,29.0886,352.3435,0.190522,0.318449,0.205042,0.286402,0.351852,0.150521,0.356083,0.059893,0.022074,0.081699,0.115731,0.176982,0.19255,0.196721,0.085285,7.806689,-0.040006,0.845833,0.206393,0.129957,0.131942,0.083953,0.154167,0.126549,0.195236,0.715876,0.703077,0.905004,0.296923,0.404,8.4127,NA,6.094,12.0405,43.387,0,30.3143,13.0727,-0.2516,1.6258,1.4714,0.2881,0.2881,0.080181,-0.019361,0.099542,-0.025044,0.055138,0.02203,0.053298,0.033913,0,0.055138,0,1.779832,8.114319,0,0.223663,0.223663,0,0,0.776337,2.1211,-1.6806,2.1211,4.7913,-3.7962,4.7913,6.9296,10.0362,6.95,7.1857,4.0995,23.1298,20.2793,1.9095,2.1571,2.0216,-0.269394,0.515247,0.515247,412494094,0.094825,0.119408,499290000,0.74,505582000,0.73,491600000,0.74,0.02,0.01,0.03,,,0.3,0.45,0.39,,,0,0.438178046,56.00892786,11,11.72380529,3.236067977,1.040203217,108.2233124
507,569,Shantanu Narayen,ADBE,Information Technology,Q3,2015,9/18/2015 0:21,1.158,2741,145,2,5,2.666666667,1.82147131,1.641203497,1.588527075,1.674776075,1.539915652,0.988720687,0.61102637,0.799778972,0.044946214,0.900951086,12/10/2015 20:22,83,0.02333579,0.021002211,0.088921641,0.127609924,0.108615,529495616.1,0.116055,5078693000,0.9313,359374000,170121616.1,34513616.1,-1762639000,748781000,331261000,1080042000,157035000,-1203659000,2465074000,2465074000,1906094000,1906094000,-1762639000,8747426000,13.5255,1.7445,40161234600,38398595600,5.8704,45.5155,8.8026,81.1368,0,0.012325,7.5607,8.4163,35.5529,51.2815,72.5192,27.1418,225.7126,0.509143,0.877242,0.860306,1.015571,1.085106,0.176293,-0.767717,0.07615,0.048817,0.202955,0.30459,0.332179,0.355361,0.342466,0.069527,0.557822,-0.004418,0.845719,0.236725,0.161573,0.164119,0.108491,0.154281,0.116473,0.187598,0.684146,0.718285,0.920317,0.281715,0.4147,8.1335,NA,5.7631,11.3887,44.876,0,32.0494,12.8266,-0.2781,1.6211,1.4919,0.2786,0.2786,0.108082,-0.018287,0.12637,-0.035144,0.072938,0.034726,0.068065,0.044994,0,0.072938,0,1.262672,9.009074,0,0.217903,0.217903,0,0,0.782097,1.7648,-1.632,1.7648,3.5998,-3.3289,3.5998,6.8889,12.4079,8.7742,9.8057,6.172,23.4434,20.8412,2.8191,2.1962,2.0683,-0.263819,0.540298,0.540298,544165160,0.119271,0.151041,498630000,1,505809000,0.98,498500000,1,0.01,0,,0.02,-0.01,-0.13,-0.25,,-0.06,0.01,0,0.419523539,59.9082632,10.77032961,9.185352772,3.236067977,1.053175797,82.14794542
508,570,Shantanu Narayen,ADBE,Information Technology,Q4,2015,12/10/2015 20:22,1.116,2516,155,1,inf,3,1.807433703,1.66860472,1.596128658,1.706089997,1.528457328,0.967199996,0.807710186,0.844035103,0.181864056,0.860756899,3/17/2016 20:02,97,-0.01178251,0.018268295,-0.060750189,-0.115230786,0.156363,650671461.6,0.135683,4920727000,1.0126,369998000,280673461.6,21120461.6,-2080853000,937004000,339473000,1276477000,127157000,-1379748000,2608336000,2608336000,1907231000,1907231000,-2080853000,8908811000,13.8054,2.2176,46745305880,44664452880,6.6764,41.5628,9.7477,74.2518,0,0.013468,9.0768,9.3138,34.9904,47.6673,68.6436,30.3943,159.1332,0.740155,1.231217,1.122892,1.345614,1.339623,0.141377,-0.657977,0.081305,0.051086,0.181877,0.251373,0.228851,0.271866,0.265306,0.038708,0.64984,-0.031104,0.844789,0.266182,0.188321,0.195392,0.131279,0.155211,0.111245,0.179904,0.656468,0.720491,0.932526,0.279509,0.426,7.589,NA,6.099,9.2071,48.0959,0,39.6435,8.4524,-0.3125,1.634,1.5237,0.2724,0.2724,0.137396,-0.00981,0.147206,-0.046008,0.091388,0.059267,0.083244,0.05593,0,0.091388,0,0.992771,11.556595,0,0.214084,0.214084,0,0,0.785916,1.4941,-1.6302,1.4941,2.9312,-3.198,2.9312,7.7416,14.5987,10.1376,12.6176,8.1565,22.8951,20.914,4.373,2.1783,2.1053,-0.287717,0.543912,0.543912,650671461.6,0.135683,0.182208,498764000,1.26,507164000,1.24,499600000,1.26,0.01,,0,-0.01,0.02,0.12,,0.04,0.1,-0.08,0,0.454972527,54.32310742,11.04536102,10.11043358,3.645751311,1.060480043,76.711801
509,571,Shantanu Narayen,ADBE,Information Technology,Q1,2016,3/17/2016 20:02,1.103,1607,82,1,inf,3,1.824932755,1.664328494,1.595052513,1.684373076,1.536648317,0.991558508,0.781658019,0.838194606,0.072895674,0.890469597,6/21/2016 23:16,96,-0.046734694,-0.055918367,-0.038571429,-0.011428571,0.191145,826845196.8,0.163097,4900145000,0.9927,-413673000,1240518197,27875196.8,-2181057000,1072586000,341038000,1413624000,137811000,-1394304000,2703584000,2703584000,1916831000,1916831000,-2181057000,8998033000,14.0034,2.3207,43579157680,41398100680,6.1542,37.1355,8.5961,54.5442,0,0.018334,8.4483,8.1658,29.2851,38.5965,50.0675,23.205,33.3716,0.703135,1.085023,1.448466,1.608992,1.57377,0.463717,99.040074,-0.077849,0.057169,0.107442,0.144697,0.270757,0.269111,0.266129,0.214026,3.419792,-0.004183,0.846915,0.27884,0.204713,0.211569,0.157598,0.153085,0.105512,0.174454,0.642201,0.796707,0.934974,0.203293,0.4427,8.9599,NA,6.4206,10.826,40.7371,0,33.7153,7.0218,-0.2528,1.6755,1.5666,0.2707,0.2707,0.161905,-0.01613,0.178035,-0.045013,0.116892,0.242906,0.093655,0.069763,0,0.116892,0,0.719677,12.945367,0,0.213028,0.213028,0,0,0.786972,1.356,-1.5429,1.356,2.3182,-2.6378,2.3182,7.276,15.7483,12.1402,13.7249,10.1168,26.1939,24.1705,18.214,2.2114,2.1046,-0.275029,0.533287,0.533287,825446975.4,0.162821,0.197812,499125000,1.6,505676000,1.57,498600000,1.6,0.01,,0,0.25,-0.01,-0.12,,-0.28,-0.36,0.13,0,0.447213595,54.25863987,10.44030651,6.477225575,3.828427125,1.054708345,49.63456139
510,572,Shantanu Narayen,ADBE,Information Technology,Q2,2016,6/21/2016 23:16,1.108,1925,111,1,inf,3,1.818197832,1.663414405,1.607115764,1.696150879,1.539450441,0.985308046,0.77583634,0.895695325,0.123371591,0.899505209,12/15/2016 22:19,176,-0.015911232,-0.032136502,0.011933424,0.058725008,0.219798,924130661.2,0.17416,4848592000,1.0666,-252639000,1176769661,28579661.2,-2400019000,1225552000,339570000,1565122000,155840000,-1465434000,2852974000,2852974000,1920000000,1920000000,-2398408000,9168611000,14.3615,2.5952,49816357500,47417949500,6.8725,38.0318,9.3883,55.6265,0,0.017977,9.7797,8.9363,30.2966,38.6911,51.3109,26.3251,40.295,0.743239,1.135261,1.325057,1.452201,1.410959,0.36172,9.775804,-0.049525,0.04666,0.10717,0.142614,0.117659,0.120882,0.121019,0.009659,-0.051389,-0.010521,0.850553,0.29496,0.223973,0.230965,0.168774,0.149447,0.102302,0.171283,0.62658,0.777593,0.939737,0.222407,0.4539,9.0755,NA,6.7113,12.0041,40.2183,0,30.4063,9.812,-0.2821,1.6872,1.5855,0.2649,0.2649,0.185758,-0.014623,0.200381,-0.056518,0.12924,0.236541,0.104828,0.076601,0,0.12924,0,0.669979,11.558297,0,0.20941,0.20941,0,0,0.79059,1.2267,-1.5324,1.2267,2.0776,-2.5953,2.0776,7.9149,17.8452,13.4562,15.576,11.187,26.2278,23.9586,17.1348,2.1959,2.0897,-0.276173,0.537666,0.537666,922739546.9,0.173898,0.217047,499974000,1.79,504725000,1.76,498100000,1.79,0.01,0.01,0.01,0,,-0.14,-0.18,-0.17,-0.06,,0,0.420713679,50.32891813,10.58300524,9.062257748,3.449489743,1.045308066,68.53529692
511,573,Dan Amos,AFL,Financials,Q4,2013,2/5/2014 12:28,1.132,1533,84,1,inf,3,1.811880155,1.686850052,1.5615003,1.721974518,1.497968182,0.97617167,0.896287373,0.592961863,0.305474464,0.706389501,4/30/2014 14:59,84,0.00211039,0.018668831,0.026136364,0.002597403,-0.053127,3158000000,0.14278,19517000000,1.1101,-813000000,3971000000,0,4897000000,4816000000,1074000000,5890000000,0,,,,4897000000,4897000000,-1.06105E+11,19517000000,31.2789,31.2789,27690236749,-78414763252,1.894,1.894,1.2519,8.7683,0.023969,0.114047,NA,NA,NA,NA,NA,NA,NA,0.086916,0.119479,0.101884,0.101884,0.106383,-0.294609,4.2206,-0.03999,-0.022798,0.026669,0.031926,0.030679,0.030679,0.033639,-0.0106,0.034384,-0.004793,,0.266299,,0.217741,0.14278,,0,,0.782259,0.655731,1,0.344269,0.1753,,,42.3311,,,,,,0.3023,8.2489,8.2489,0.335,0.335,0.158506,0,0.158506,0.047912,0.206419,0.199312,0.038161,0.025024,0,0.206419,0.201077,0.458518,NA,0,0.250909,0.250909,0,0,0.749091,0.8314,-18.0144,0.8314,1.5507,-33.5988,1.5507,,16.4369,10.7782,16.4369,10.7782,35.9966,35.9966,13.5529,,,,,,3158000000,0.14278,0.217741,929004000,3.4,934816000,3.38,1.2632E+11,0.03,-0.02,,-0.01,-0.01,-0.01,-0.18,,0.07,0.04,-0.28,0,0.3,30.5777697,6.164414003,15.4222051,2,1.023100695,169.8845111
514,576,Dan Amos,AFL,Financials,Q3,2014,10/29/2014 15:50,1.158,1,1,3,1.5,2.2,1.800838496,1.654977911,1.53828121,1.713473998,1.511783639,0.948930843,0.718139866,0.387760134,0.234979908,0.784635636,2/4/2015 14:03,97,0.00738255,0.003187919,-0.000503356,-0.002013423,-0.062075,2923000000,0.137689,22411000000,1.0104,2800000000,123000000,0,4558000000,4444000000,1125000000,5569000000,0,,,,4558000000,4558000000,-1.12799E+11,22411000000,39.3254,39.3254,23882206733,-88916793267,1.3377,1.3377,1.125,8.1704,0.034787,0.122392,NA,NA,NA,NA,NA,NA,NA,-0.029284,-0.047782,-0.046018,-0.046018,-0.021407,-0.252814,-0.96796,0.142777,-0.00604,0.003604,0.001126,0.00137,0.00137,0.009464,-0.002005,1.133406,-0.003202,,0.26233,,0.209336,0.137689,,0,,0.790664,0.657741,1,0.342259,0.1718,,,44.2732,,,,,,0.2925,7.6027,7.6027,0.2553,0.2553,0.139118,0,0.139118,0.040698,0.179816,0.005854,0.035959,0.023652,0,0.179816,0.222032,0.633938,NA,0,0.203382,0.203382,0,0,0.796618,0.8185,-20.2548,0.8185,1.5594,-38.5901,1.5594,,13.8875,9.1344,13.8875,9.1344,24.8906,24.8906,0.3844,,,,,,2923000000,0.137689,0.209336,902492000,3.22,907962000,3.2,905200000,-0.16,0.02,,0.01,-0.01,0.01,-0.01,,-0.24,-0.24,-0.16,0,0.346410162,43.08131846,8.602325267,15.49137675,2.732050808,1,172.6579153
515,577,Daniel P. Amos,AFL,Financials,Q4,2014,2/4/2015 14:03,1.129,2136,95,3,2.5,2.428571429,1.810658615,1.665593394,1.524359755,1.700415079,1.516268384,0.973940928,0.789568531,0.275207951,0.146621712,0.807166456,4/29/2015 15:52,84,0.010941645,0.025033156,0.045921751,0.069628647,-0.051677,2951000000,0.140691,23629000000,0.9723,4112000000,-1161000000,0,5282000000,4491000000,1108000000,5599000000,0,,,,5282000000,5282000000,-1.06717E+11,23629000000,40.4119,40.4119,25213434640,-81503565360,1.3743,1.3743,1.2021,8.544,0.033672,0.117041,NA,NA,NA,NA,NA,NA,NA,-0.049406,-0.067483,-0.065548,-0.065548,-0.038462,-0.37897,-1.29237,0.210688,-0.011965,0.005387,0.010576,0.009579,0.009579,0.015625,-0.177652,-10.439024,0.054348,,0.266937,,0.214112,0.140691,,0,,0.785888,0.657092,1,0.342908,0.174,,,46.0989,,,,,,0.3088,7.3126,7.3126,0.2879,0.2879,0.136791,0,0.136791,0.042236,0.179028,-0.053817,0.037258,0.024482,0,0.179028,0.22162,0.63165,NA,0,0.223539,0.223539,0,0,0.776461,0.9434,-19.06,0.9434,1.7899,-36.163,1.7899,,14.1672,9.3091,14.1672,9.3091,20.6625,20.6625,-3.6625,,,,,,2951000000,0.140691,0.214112,902408000,3.27,908000000,3.25,98366600000,0.03,-0.01,,0.02,0.02,-0.01,-0.5,,-0.58,-0.55,-0.23,0,0.371483512,48.78524367,10.29563014,14.26649916,3.236067977,1.046743659,148.5496996
517,579,Dan Paul Amos,AFL,Financials,Q2,2015,7/29/2015 13:15,1.15,1771,125,12,1.181818182,2.083333333,1.802662776,1.647834255,1.547881243,1.694916683,1.507898772,0.954649722,0.664275961,0.472085674,0.11715264,0.763938814,10/28/2015 15:23,91,-0.004353234,-0.003420398,-0.102922886,-0.098880597,-0.059182,2645000000,0.131631,22443000000,0.8945,-40000000,2685000000,0,5425000000,4036000000,1070000000,5106000000,0,,,,5425000000,5425000000,-1.00958E+11,22443000000,39.1888,39.1888,24863351157,-76094648843,1.461,1.461,1.2374,9.4001,0.03336,0.106381,NA,NA,NA,NA,NA,NA,NA,-0.079834,-0.090786,-0.093868,-0.093868,-0.033123,-0.182934,3.912148,-0.001779,-0.024279,-0.070115,-0.082727,-0.082235,-0.082235,-0.069803,0.019703,2.854282,-0.099362,,0.254106,,0.200856,0.131631,,0,,0.799144,0.655352,1,0.344648,0.1651,,,44.4558,,,,,,0.2993,7.0411,7.0411,0.3188,0.3188,0.117749,0,0.117749,0.035247,0.152996,0.11953,0.033156,0.021729,0,0.152996,0.248771,0.82949,NA,0,0.241723,0.241723,0,0,0.758277,1.0625,-19.7724,1.0625,2.051,-38.1694,2.051,,12.8946,8.4505,12.8946,8.4505,20.8339,20.8339,8.5783,,,,,,2645000000,0.131631,0.200856,863344000,3.07,868514000,3.07,861600000,3.07,0.06,,0.06,0.08,0,0.17,,0.24,0.35,-0.04,0,0.379473319,49.94997497,10.34408043,17.673332,4.605551275,1.049177129,188.5666119
